Model,Training Time,Evaluate Time,Accuracy,Precision,Recall,F1 Score,AUC,Sensitivity,Specificity
Wav2Vec,947.6502764225006,186.32175755500796,0.276,0.0768817635270541,0.276,0.1202633228840125,0.47788951662881,0.2482014388489208,
HuBERT,2637.4833612442017,405.7448043823242,0.226,0.051076,0.226,0.08332137030995107,0.4787140329254414,0.25,
